net,length_um
_02737_,47.54
_06391_,47.52
_05970_,47.46
_02025_,47.4
_01111_,47.38
acc\[2\]\[20\],47.32
_04274_,47.2
_01355_,47.18
_04199_,47.04
_05278_,46.84
_03586_,46.82
_00376_,46.78
_06471_,46.75
_01531_,46.74
_04305_,46.68
acc\[9\]\[24\],46.6
_06788_,46.58
_00319_,46.44
_02145_,46.36
_07181_,46.36
_02743_,46.24
_06785_,46.2
_02205_,46.18
_04354_,46.12
_06211_,46.06
_03364_,46
_07017_,45.94
_02986_,45.84
net79,45.72
_04122_,45.7
_02303_,45.68
_05903_,45.59
_01309_,45.475
_01048_,45.4
_03903_,45.12
_01049_,45.08
acc\[9\]\[12\],45.06
_02348_,45.04
_04646_,45.02
_04807_,44.98
_04648_,44.96
clknet_leaf_50_clk,44.92
_03286_,44.85
_01854_,44.78
_01089_,44.74
_05803_,44.74
_02782_,44.68
_04890_,44.66
_01030_,44.56
_05927_,44.56
_06046_,44.5
_03905_,44.46
_02149_,44.44
_03142_,44.38
_04613_,44.34
_05337_,44.34
_00864_,44.26
_05794_,44.22
acc\[8\]\[23\],44.14
_01009_,44.1
_03714_,44.1
_02157_,43.96
_06287_,43.96
acc\[4\]\[28\],43.8
_01812_,43.74
_00859_,43.715
_03485_,43.66
_00858_,43.62
_04096_,43.56
_03120_,43.475
acc\[2\]\[9\],43.45
_03047_,43.4
_04667_,43.38
_03967_,43.16
_00308_,43.12
_03766_,42.98
acc\[14\]\[31\],42.96
_05486_,42.92
_01840_,42.88
_04569_,42.8
_05079_,42.8
acc\[8\]\[9\],42.67
acc\[0\]\[10\],42.55
_01076_,42.52
_04627_,42.52
acc\[11\]\[25\],42.38
_06703_,42.3
_02747_,42.26
acc\[3\]\[26\],42.26
acc\[10\]\[22\],42.1
acc\[7\]\[25\],42.08
_00026_,41.96
_04473_,41.94
_04374_,41.9
_03143_,41.82
_02910_,41.68
acc\[5\]\[18\],41.68
_01804_,41.645
_03259_,41.58
_02580_,41.45
_01529_,41.37
clknet_leaf_61_clk,41.36
_02017_,41.32
_05882_,41.275
_02092_,41.26
acc\[8\]\[25\],41.25
_04041_,41.18
_07238_,41.18
_00009_,41.14
_04728_,41
_03635_,40.98
_00853_,40.88
_04531_,40.88
acc\[4\]\[27\],40.88
_04961_,40.8
acc\[3\]\[9\],40.68
acc\[0\]\[23\],40.65
_00855_,40.62
_01762_,40.62
_05980_,40.56
_01146_,40.54
_04339_,40.5
clknet_leaf_15_clk,40.48
_03027_,40.46
_06464_,40.4
_00918_,40.38
_04515_,40.26
_01769_,40.24
_02946_,40.24
acc\[5\]\[15\],40.2
_00178_,40.16
_00073_,40.1
_01473_,40.08
_02302_,40.08
_04102_,40.06
_00318_,40.04
acc\[5\]\[25\],40.04
_06404_,40.03
_04712_,40.015
_06045_,39.94
_02982_,39.9
_04729_,39.82
_00310_,39.76
_06208_,39.74
_04352_,39.7
_06791_,39.7
acc\[7\]\[22\],39.7
_01250_,39.62
_06289_,39.62
_03667_,39.6
_04381_,39.575
_01284_,39.54
acc\[7\]\[21\],39.52
_02336_,39.5
acc\[6\]\[22\],39.5
_01962_,39.32
_02799_,39.3
_04487_,39.2
acc\[3\]\[17\],39.2
acc\[9\]\[26\],39.2
_03670_,39.16
_04844_,39.16
acc\[6\]\[26\],39.08
_00900_,39.01
_01017_,38.94
_00845_,38.9
_04172_,38.9
_01115_,38.84
_07018_,38.74
_02368_,38.64
_00069_,38.62
_01933_,38.58
clknet_leaf_66_clk,38.52
_02221_,38.51
acc\[9\]\[25\],38.5
_06024_,38.445
acc\[7\]\[26\],38.4
_03211_,38.38
_05881_,38.32
_01119_,38.3
_01033_,38.28
_02163_,38.26
_06745_,38.22
_01705_,38.2
_05586_,38.16
_00089_,38.12
_00053_,38.1
_04178_,38.08
acc\[10\]\[25\],38.06
_01810_,38.04
acc\[3\]\[27\],38.04
_02266_,37.96
_02671_,37.9
acc\[3\]\[25\],37.8
_04444_,37.74
acc\[3\]\[23\],37.72
_04116_,37.705
_01863_,37.7
_01681_,37.68
_02667_,37.66
_04179_,37.64
_00320_,37.58
_02542_,37.54
acc\[4\]\[7\],37.5
_00225_,37.4
_04389_,37.32
acc\[8\]\[12\],37.28
_01411_,37.26
clknet_leaf_60_clk,37.26
_03736_,37.25
acc\[5\]\[26\],37.24
_03948_,37.22
_01756_,37.2
_02356_,37.2
_01811_,37.12
_00913_,37.04
_02733_,37.02
_02469_,36.94
_03070_,36.9
_04271_,36.74
_04039_,36.6
_02181_,36.58
_05836_,36.52
_02820_,36.48
_04380_,36.48
_06441_,36.46
acc\[8\]\[24\],36.46
acc\[5\]\[24\],36.44
_00311_,36.42
acc\[9\]\[4\],36.42
_00066_,36.405
_01834_,36.34
_04293_,36.32
acc\[11\]\[16\],36.32
_02254_,36.3
_03483_,36.28
_05918_,36.12
acc\[0\]\[14\],36.08
acc\[5\]\[22\],35.94
_04611_,35.84
acc\[11\]\[23\],35.8
_02367_,35.64
_04525_,35.62
_05809_,35.62
acc\[8\]\[22\],35.58
_01862_,35.54
acc\[4\]\[29\],35.52
_00375_,35.5
acc\[2\]\[19\],35.495
_04938_,35.48
_06933_,35.48
_01690_,35.42
acc\[8\]\[26\],35.42
acc\[4\]\[24\],35.4
_06597_,35.395
_01543_,35.38
_05847_,35.38
acc\[13\]\[12\],35.38
acc\[2\]\[18\],35.38
_04920_,35.36
acc\[9\]\[10\],35.32
acc\[3\]\[13\],35.28
acc\[5\]\[21\],35.12
_01944_,35.06
_02969_,35.06
_04084_,34.96
_02002_,34.84
_03287_,34.84
_00078_,34.825
acc\[0\]\[17\],34.82
_01370_,34.815
_00856_,34.78
_04321_,34.76
_06526_,34.72
_02790_,34.7
_03937_,34.68
_02043_,34.64
_03935_,34.62
_02944_,34.6
_02222_,34.56
_02923_,34.485
acc\[7\]\[29\],34.48
acc\[7\]\[18\],34.46
_01467_,34.445
_01513_,34.44
_00215_,34.4
_03856_,34.4
_04075_,34.38
_02259_,34.34
_02950_,34.3
_03063_,34.3
_01486_,34.29
_02466_,34.22
_05355_,34.2
_01199_,34.16
_04587_,34.16
_01796_,34.14
_00309_,34.12
_04252_,34.1
_02586_,34.06
_04157_,33.98
_06962_,33.98
_00233_,33.92
_01439_,33.92
_03674_,33.92
_04124_,33.92
_02219_,33.9
_06691_,33.88
_03831_,33.87
_04085_,33.84
_04367_,33.84
_01412_,33.8
